14852,12/17/2025,,639123300652,60,EA,12/17/2025
14852,12/17/2025,,639123300737,72,EA,12/17/2025
14852,12/17/2025,,639123301086,48,EA,12/17/2025
14844,12/17/2025,,639123300652,24,EA,12/17/2025
14844,12/17/2025,,639123300737,42,EA,12/17/2025
14844,12/17/2025,,639123301086,24,EA,12/17/2025
14851,12/17/2025,,639123300652,30,EA,12/17/2025
14851,12/17/2025,,639123300737,30,EA,12/17/2025
14851,12/17/2025,,639123301086,30,EA,12/17/2025
14847,12/17/2025,,639123300652,18,EA,12/17/2025
14847,12/17/2025,,639123300737,48,EA,12/17/2025
14847,12/17/2025,,639123301086,24,EA,12/17/2025
14842,12/17/2025,,639123300652,30,EA,12/17/2025
14842,12/17/2025,,639123300737,42,EA,12/17/2025
14842,12/17/2025,,639123301086,42,EA,12/17/2025
14845,12/17/2025,,639123300652,18,EA,12/17/2025
14845,12/17/2025,,639123300737,42,EA,12/17/2025
14845,12/17/2025,,639123301086,30,EA,12/17/2025
14840,12/17/2025,,639123300652,30,EA,12/17/2025
14840,12/17/2025,,639123300737,48,EA,12/17/2025
14840,12/17/2025,,639123301086,30,EA,12/17/2025
14846,12/17/2025,,639123300652,18,EA,12/17/2025
14846,12/17/2025,,639123300737,36,EA,12/17/2025
14846,12/17/2025,,639123301086,30,EA,12/17/2025
14839,12/17/2025,,639123300652,12,EA,12/17/2025
14839,12/17/2025,,639123300737,30,EA,12/17/2025
14839,12/17/2025,,639123301086,30,EA,12/17/2025
14837,12/17/2025,,639123300652,24,EA,12/17/2025
14837,12/17/2025,,639123300737,66,EA,12/17/2025
14837,12/17/2025,,639123301086,54,EA,12/17/2025
14848,12/17/2025,,639123300652,42,EA,12/17/2025
14848,12/17/2025,,639123300737,72,EA,12/17/2025
14848,12/17/2025,,639123301086,42,EA,12/17/2025
14841,12/17/2025,,639123300652,24,EA,12/17/2025
14841,12/17/2025,,639123300737,42,EA,12/17/2025
14841,12/17/2025,,639123301086,30,EA,12/17/2025
14849,12/17/2025,,639123300652,18,EA,12/17/2025
14849,12/17/2025,,639123300737,54,EA,12/17/2025
14849,12/17/2025,,639123301086,42,EA,12/17/2025
14843,12/17/2025,,639123300652,24,EA,12/17/2025
14843,12/17/2025,,639123300737,30,EA,12/17/2025
14843,12/17/2025,,639123301086,24,EA,12/17/2025
14853,12/17/2025,,639123300652,54,EA,12/17/2025
14853,12/17/2025,,639123300737,84,EA,12/17/2025
14853,12/17/2025,,639123301086,78,EA,12/17/2025
14838,12/17/2025,,639123300652,18,EA,12/17/2025
14838,12/17/2025,,639123300737,36,EA,12/17/2025
14838,12/17/2025,,639123301086,24,EA,12/17/2025
14850,12/17/2025,,639123300652,18,EA,12/17/2025
14850,12/17/2025,,639123300737,48,EA,12/17/2025
14850,12/17/2025,,639123301086,42,EA,12/17/2025
14836,12/17/2025,,639123300652,12,EA,12/17/2025
14836,12/17/2025,,639123300737,36,EA,12/17/2025
14836,12/17/2025,,639123301086,24,EA,12/17/2025
